,p_id,week
110,3,['06-26-2022']
111,3,['07-03-2022']
112,3,['07-10-2022']
113,3,['07-17-2022']
114,3,['07-24-2022']
115,3,['07-31-2022']
116,3,['08-07-2022']
117,3,['08-14-2022']
118,3,['08-21-2022']
119,3,['08-28-2022']
120,3,['09-04-2022']
121,3,['09-11-2022']
122,3,['09-18-2022']
123,3,['09-25-2022']
124,3,['10-02-2022']
125,3,['10-09-2022']
126,3,['10-16-2022']
127,3,['10-23-2022']
128,3,['10-30-2022']
129,3,['11-06-2022']
130,3,['11-13-2022']
131,3,['11-20-2022']
132,3,['11-27-2022']
133,3,['12-04-2022']
134,3,['12-11-2022']
135,3,['12-18-2022']
136,3,['12-25-2022']
137,3,['01-01-2023']
138,3,['01-08-2023']
139,3,['01-15-2023']
140,3,['01-22-2023']
141,3,['01-29-2023']
142,3,['02-05-2023']
143,3,['02-12-2023']
144,3,['02-19-2023']
145,3,['02-26-2023']
146,3,['03-05-2023']
147,3,['03-12-2023']
148,3,['03-19-2023']
149,3,['03-26-2023']
150,3,['04-02-2023']
151,3,['04-09-2023']
152,3,['04-16-2023']
153,3,['04-23-2023']
154,3,['04-30-2023']
155,3,['05-07-2023']
156,3,['05-14-2023']
157,3,['05-21-2023']
158,3,['05-28-2023']
159,4,['05-29-2022']
160,4,['06-05-2022']
161,4,['06-12-2022']
162,4,['06-19-2022']
163,4,['06-26-2022']
164,4,['07-03-2022']
165,4,['07-10-2022']
166,4,['07-17-2022']
167,4,['07-24-2022']
168,4,['07-31-2022']
169,4,['08-07-2022']
170,4,['08-14-2022']
171,4,['08-21-2022']
172,4,['08-28-2022']
173,4,['09-04-2022']
174,4,['09-11-2022']
175,4,['09-18-2022']
176,4,['09-25-2022']
177,4,['10-02-2022']
178,4,['10-09-2022']
179,4,['10-16-2022']
180,4,['10-23-2022']
181,4,['10-30-2022']
182,4,['11-06-2022']
183,4,['11-13-2022']
184,4,['11-20-2022']
185,4,['11-27-2022']
186,4,['12-04-2022']
187,4,['12-11-2022']
188,4,['12-18-2022']
189,4,['12-25-2022']
190,4,['01-01-2023']
191,4,['01-08-2023']
192,4,['01-15-2023']
193,4,['01-22-2023']
194,4,['01-29-2023']
195,4,['02-05-2023']
196,4,['02-12-2023']
197,4,['02-19-2023']
198,4,['02-26-2023']
199,4,['03-05-2023']
200,4,['03-12-2023']
201,4,['03-19-2023']
202,4,['03-26-2023']
203,4,['04-02-2023']
204,4,['04-09-2023']
205,4,['04-16-2023']
206,4,['04-23-2023']
207,4,['04-30-2023']
208,4,['05-07-2023']
209,4,['05-14-2023']
210,4,['05-21-2023']
211,4,['05-28-2023']
212,5,['05-29-2022']
213,5,['06-05-2022']
214,5,['06-12-2022']
215,5,['06-19-2022']
216,5,['06-26-2022']
217,5,['07-03-2022']
218,5,['07-10-2022']
219,5,['07-17-2022']
220,5,['07-24-2022']
221,5,['07-31-2022']
222,5,['08-07-2022']
223,5,['08-14-2022']
224,5,['08-21-2022']
225,5,['08-28-2022']
226,5,['09-04-2022']
227,5,['09-11-2022']
228,5,['09-18-2022']
229,5,['09-25-2022']
230,5,['10-02-2022']
231,5,['10-09-2022']
232,5,['10-16-2022']
233,5,['10-23-2022']
234,5,['10-30-2022']
235,5,['11-06-2022']
236,5,['11-13-2022']
237,5,['11-20-2022']
238,5,['11-27-2022']
239,5,['12-04-2022']
240,5,['12-11-2022']
241,5,['12-18-2022']
242,5,['12-25-2022']
243,5,['01-01-2023']
244,5,['01-08-2023']
245,5,['01-15-2023']
246,5,['01-22-2023']
247,5,['01-29-2023']
248,5,['02-05-2023']
249,5,['02-12-2023']
250,5,['02-19-2023']
251,5,['02-26-2023']
252,5,['03-05-2023']
253,5,['03-12-2023']
254,5,['03-19-2023']
255,5,['03-26-2023']
256,5,['04-02-2023']
257,5,['04-09-2023']
258,5,['04-16-2023']
259,5,['04-23-2023']
260,5,['04-30-2023']
261,5,['05-07-2023']
262,5,['05-14-2023']
263,5,['05-21-2023']
264,5,['05-28-2023']
265,6,['05-29-2022']
266,6,['06-05-2022']
267,6,['06-12-2022']
268,6,['06-19-2022']
269,6,['06-26-2022']
270,6,['07-03-2022']
271,6,['07-10-2022']
272,6,['07-17-2022']
273,6,['07-24-2022']
274,6,['07-31-2022']
275,6,['08-07-2022']
276,6,['08-14-2022']
277,6,['08-21-2022']
278,6,['08-28-2022']
279,6,['09-04-2022']
280,6,['09-11-2022']
281,6,['09-18-2022']
282,6,['09-25-2022']
283,6,['10-02-2022']
284,6,['10-09-2022']
285,6,['10-16-2022']
286,6,['10-23-2022']
287,6,['10-30-2022']
288,6,['11-06-2022']
289,6,['11-13-2022']
290,6,['11-20-2022']
291,6,['11-27-2022']
292,6,['12-04-2022']
293,6,['12-11-2022']
294,6,['12-18-2022']
295,6,['12-25-2022']
296,6,['01-01-2023']
297,6,['01-08-2023']
298,6,['01-15-2023']
299,6,['01-22-2023']
300,6,['01-29-2023']
301,6,['02-05-2023']
302,6,['02-12-2023']
303,6,['02-19-2023']
304,6,['02-26-2023']
305,6,['03-05-2023']
306,6,['03-12-2023']
307,6,['03-19-2023']
308,6,['03-26-2023']
309,6,['04-02-2023']
310,6,['04-09-2023']
311,6,['04-16-2023']
312,6,['04-23-2023']
313,6,['04-30-2023']
314,6,['05-07-2023']
315,6,['05-14-2023']
316,6,['05-21-2023']
317,6,['05-28-2023']
318,7,['05-29-2022']
319,7,['06-05-2022']
320,7,['06-12-2022']
321,7,['06-19-2022']
322,7,['06-26-2022']
323,7,['07-03-2022']
324,7,['07-10-2022']
325,7,['07-17-2022']
326,7,['07-24-2022']
327,7,['07-31-2022']
328,7,['08-07-2022']
329,7,['08-14-2022']
330,7,['08-21-2022']
331,7,['08-28-2022']
332,7,['09-04-2022']
333,7,['09-11-2022']
334,7,['09-18-2022']
335,7,['09-25-2022']
336,7,['10-02-2022']
337,7,['10-09-2022']
338,7,['10-16-2022']
339,7,['10-23-2022']
340,7,['10-30-2022']
341,7,['11-06-2022']
342,7,['11-13-2022']
343,7,['11-20-2022']
344,7,['11-27-2022']
345,7,['12-04-2022']
346,7,['12-11-2022']
347,7,['12-18-2022']
348,7,['12-25-2022']
349,7,['01-01-2023']
350,7,['01-08-2023']
351,7,['01-15-2023']
352,7,['01-22-2023']
353,7,['01-29-2023']
354,7,['02-05-2023']
355,7,['02-12-2023']
356,7,['02-19-2023']
357,7,['02-26-2023']
358,7,['03-05-2023']
359,7,['03-12-2023']
360,7,['03-19-2023']
361,7,['03-26-2023']
362,7,['04-02-2023']
363,7,['04-09-2023']
364,7,['04-16-2023']
365,7,['04-23-2023']
366,7,['04-30-2023']
367,7,['05-07-2023']
368,7,['05-14-2023']
369,7,['05-21-2023']
370,7,['05-28-2023']
371,8,['05-29-2022']
372,8,['06-05-2022']
373,8,['06-12-2022']
374,8,['06-19-2022']
375,8,['06-26-2022']
376,8,['07-03-2022']
377,8,['07-10-2022']
378,8,['07-17-2022']
379,8,['07-24-2022']
380,8,['07-31-2022']
381,8,['08-07-2022']
382,8,['08-14-2022']
383,8,['08-21-2022']
384,8,['08-28-2022']
385,8,['09-04-2022']
386,8,['09-11-2022']
387,8,['09-18-2022']
388,8,['09-25-2022']
389,8,['10-02-2022']
390,8,['10-09-2022']
391,8,['10-16-2022']
392,8,['10-23-2022']
393,8,['10-30-2022']
394,8,['11-06-2022']
395,8,['11-13-2022']
396,8,['11-20-2022']
397,8,['11-27-2022']
398,8,['12-04-2022']
399,8,['12-11-2022']
400,8,['12-18-2022']
401,8,['12-25-2022']
402,8,['01-01-2023']
403,8,['01-08-2023']
404,8,['01-15-2023']
405,8,['01-22-2023']
406,8,['01-29-2023']
407,8,['02-05-2023']
408,8,['02-12-2023']
409,8,['02-19-2023']
410,8,['02-26-2023']
411,8,['03-05-2023']
412,8,['03-12-2023']
413,8,['03-19-2023']
414,8,['03-26-2023']
415,8,['04-02-2023']
416,8,['04-09-2023']
417,8,['04-16-2023']
418,8,['04-23-2023']
419,8,['04-30-2023']
420,8,['05-07-2023']
421,8,['05-14-2023']
422,8,['05-21-2023']
423,8,['05-28-2023']
424,9,['05-29-2022']
425,9,['06-05-2022']
426,9,['06-12-2022']
427,9,['06-19-2022']
428,9,['06-26-2022']
429,9,['07-03-2022']
430,9,['07-10-2022']
431,9,['07-17-2022']
432,9,['07-24-2022']
433,9,['07-31-2022']
434,9,['08-07-2022']
435,9,['08-14-2022']
436,9,['08-21-2022']
437,9,['08-28-2022']
438,9,['09-04-2022']
439,9,['09-11-2022']
440,9,['09-18-2022']
441,9,['09-25-2022']
442,9,['10-02-2022']
443,9,['10-09-2022']
444,9,['10-16-2022']
445,9,['10-23-2022']
446,9,['10-30-2022']
447,9,['11-06-2022']
448,9,['11-13-2022']
449,9,['11-20-2022']
450,9,['11-27-2022']
451,9,['12-04-2022']
452,9,['12-11-2022']
453,9,['12-18-2022']
454,9,['12-25-2022']
455,9,['01-01-2023']
456,9,['01-08-2023']
457,9,['01-15-2023']
458,9,['01-22-2023']
459,9,['01-29-2023']
460,9,['02-05-2023']
461,9,['02-12-2023']
462,9,['02-19-2023']
463,9,['02-26-2023']
464,9,['03-05-2023']
465,9,['03-12-2023']
466,9,['03-19-2023']
467,9,['03-26-2023']
468,9,['04-02-2023']
469,9,['04-09-2023']
470,9,['04-16-2023']
471,9,['04-23-2023']
472,9,['04-30-2023']
473,9,['05-07-2023']
474,9,['05-14-2023']
475,9,['05-21-2023']
476,9,['05-28-2023']
477,10,['05-29-2022']
478,10,['06-05-2022']
479,10,['06-12-2022']
480,10,['06-19-2022']
481,10,['06-26-2022']
482,10,['07-03-2022']
483,10,['07-10-2022']
484,10,['07-17-2022']
485,10,['07-24-2022']
486,10,['07-31-2022']
487,10,['08-07-2022']
488,10,['08-14-2022']
489,10,['08-21-2022']
490,10,['08-28-2022']
491,10,['09-04-2022']
492,10,['09-11-2022']
493,10,['09-18-2022']
494,10,['09-25-2022']
495,10,['10-02-2022']
496,10,['10-09-2022']
497,10,['10-16-2022']
498,10,['10-23-2022']
499,10,['10-30-2022']
500,10,['11-06-2022']
501,10,['11-13-2022']
502,10,['11-20-2022']
503,10,['11-27-2022']
504,10,['12-04-2022']
505,10,['12-11-2022']
506,10,['12-18-2022']
507,10,['12-25-2022']
508,10,['01-01-2023']
509,10,['01-08-2023']
510,10,['01-15-2023']
511,10,['01-22-2023']
512,10,['01-29-2023']
513,10,['02-05-2023']
514,10,['02-12-2023']
515,10,['02-19-2023']
516,10,['02-26-2023']
517,10,['03-05-2023']
518,10,['03-12-2023']
519,10,['03-19-2023']
520,10,['03-26-2023']
521,10,['04-02-2023']
522,10,['04-09-2023']
523,10,['04-16-2023']
524,10,['04-23-2023']
525,10,['04-30-2023']
526,10,['05-07-2023']
527,10,['05-14-2023']
528,10,['05-21-2023']
529,10,['05-28-2023']
530,11,['05-29-2022']
531,11,['06-05-2022']
532,11,['06-12-2022']
533,11,['06-19-2022']
534,11,['06-26-2022']
535,11,['07-03-2022']
536,11,['07-10-2022']
537,11,['07-17-2022']
538,11,['07-24-2022']
539,11,['07-31-2022']
540,11,['08-07-2022']
541,11,['08-14-2022']
542,11,['08-21-2022']
543,11,['08-28-2022']
544,11,['09-04-2022']
545,11,['09-11-2022']
546,11,['09-18-2022']
547,11,['09-25-2022']
548,11,['10-02-2022']
549,11,['10-09-2022']
550,11,['10-16-2022']
551,11,['10-23-2022']
552,11,['10-30-2022']
553,11,['11-06-2022']
554,11,['11-13-2022']
555,11,['11-20-2022']
556,11,['11-27-2022']
557,11,['12-04-2022']
558,11,['12-11-2022']
559,11,['12-18-2022']
560,11,['12-25-2022']
561,11,['01-01-2023']
562,11,['01-08-2023']
563,11,['01-15-2023']
564,11,['01-22-2023']
565,11,['01-29-2023']
566,11,['02-05-2023']
567,11,['02-12-2023']
568,11,['02-19-2023']
569,11,['02-26-2023']
570,11,['03-05-2023']
571,11,['03-12-2023']
572,11,['03-19-2023']
573,11,['03-26-2023']
574,11,['04-02-2023']
575,11,['04-09-2023']
576,11,['04-16-2023']
577,11,['04-23-2023']
578,11,['04-30-2023']
579,11,['05-07-2023']
580,11,['05-14-2023']
581,11,['05-21-2023']
582,11,['05-28-2023']
583,12,['05-29-2022']
584,12,['06-05-2022']
585,12,['06-12-2022']
586,12,['06-19-2022']
587,12,['06-26-2022']
588,12,['07-03-2022']
589,12,['07-10-2022']
590,12,['07-17-2022']
591,12,['07-24-2022']
592,12,['07-31-2022']
593,12,['08-07-2022']
594,12,['08-14-2022']
595,12,['08-21-2022']
596,12,['08-28-2022']
597,12,['09-04-2022']
598,12,['09-11-2022']
599,12,['09-18-2022']
600,12,['09-25-2022']
601,12,['10-02-2022']
602,12,['10-09-2022']
603,12,['10-16-2022']
604,12,['10-23-2022']
605,12,['10-30-2022']
606,12,['11-06-2022']
607,12,['11-13-2022']
608,12,['11-20-2022']
609,12,['11-27-2022']
610,12,['12-04-2022']
611,12,['12-11-2022']
612,12,['12-18-2022']
613,12,['12-25-2022']
614,12,['01-01-2023']
615,12,['01-08-2023']
616,12,['01-15-2023']
617,12,['01-22-2023']
618,12,['01-29-2023']
619,12,['02-05-2023']
620,12,['02-12-2023']
621,12,['02-19-2023']
622,12,['02-26-2023']
623,12,['03-05-2023']
624,12,['03-12-2023']
625,12,['03-19-2023']
626,12,['03-26-2023']
627,12,['04-02-2023']
628,12,['04-09-2023']
629,12,['04-16-2023']
630,12,['04-23-2023']
631,12,['04-30-2023']
632,12,['05-07-2023']
633,12,['05-14-2023']
634,12,['05-21-2023']
635,12,['05-28-2023']
636,13,['05-29-2022']
637,13,['06-05-2022']
638,13,['06-12-2022']
639,13,['06-19-2022']
640,13,['06-26-2022']
641,13,['07-03-2022']
642,13,['07-10-2022']
643,13,['07-17-2022']
644,13,['07-24-2022']
645,13,['07-31-2022']
646,13,['08-07-2022']
647,13,['08-14-2022']
648,13,['08-21-2022']
649,13,['08-28-2022']
650,13,['09-04-2022']
651,13,['09-11-2022']
652,13,['09-18-2022']
653,13,['09-25-2022']
654,13,['10-02-2022']
655,13,['10-09-2022']
656,13,['10-16-2022']
657,13,['10-23-2022']
658,13,['10-30-2022']
659,13,['11-06-2022']
660,13,['11-13-2022']
661,13,['11-20-2022']
662,13,['11-27-2022']
663,13,['12-04-2022']
664,13,['12-11-2022']
665,13,['12-18-2022']
666,13,['12-25-2022']
667,13,['01-01-2023']
668,13,['01-08-2023']
669,13,['01-15-2023']
670,13,['01-22-2023']
671,13,['01-29-2023']
672,13,['02-05-2023']
673,13,['02-12-2023']
674,13,['02-19-2023']
675,13,['02-26-2023']
676,13,['03-05-2023']
677,13,['03-12-2023']
678,13,['03-19-2023']
679,13,['03-26-2023']
680,13,['04-02-2023']
681,13,['04-09-2023']
682,13,['04-16-2023']
683,13,['04-23-2023']
684,13,['04-30-2023']
685,13,['05-07-2023']
686,13,['05-14-2023']
687,13,['05-21-2023']
688,13,['05-28-2023']
689,14,['05-29-2022']
690,14,['06-05-2022']
691,14,['06-12-2022']
692,14,['06-19-2022']
693,14,['06-26-2022']
694,14,['07-03-2022']
695,14,['07-10-2022']
696,14,['07-17-2022']
697,14,['07-24-2022']
698,14,['07-31-2022']
699,14,['08-07-2022']
700,14,['08-14-2022']
701,14,['08-21-2022']
702,14,['08-28-2022']
703,14,['09-04-2022']
704,14,['09-11-2022']
705,14,['09-18-2022']
706,14,['09-25-2022']
707,14,['10-02-2022']
708,14,['10-09-2022']
709,14,['10-16-2022']
710,14,['10-23-2022']
711,14,['10-30-2022']
712,14,['11-06-2022']
713,14,['11-13-2022']
714,14,['11-20-2022']
715,14,['11-27-2022']
716,14,['12-04-2022']
717,14,['12-11-2022']
718,14,['12-18-2022']
719,14,['12-25-2022']
720,14,['01-01-2023']
721,14,['01-08-2023']
722,14,['01-15-2023']
723,14,['01-22-2023']
724,14,['01-29-2023']
725,14,['02-05-2023']
726,14,['02-12-2023']
727,14,['02-19-2023']
728,14,['02-26-2023']
729,14,['03-05-2023']
730,14,['03-12-2023']
731,14,['03-19-2023']
732,14,['03-26-2023']
733,14,['04-02-2023']
734,14,['04-09-2023']
735,14,['04-16-2023']
736,14,['04-23-2023']
737,14,['04-30-2023']
738,14,['05-07-2023']
739,14,['05-14-2023']
740,14,['05-21-2023']
741,14,['05-28-2023']
742,15,['05-29-2022']
743,15,['06-05-2022']
744,15,['06-12-2022']
745,15,['06-19-2022']
746,15,['06-26-2022']
747,15,['07-03-2022']
748,15,['07-10-2022']
749,15,['07-17-2022']
750,15,['07-24-2022']
751,15,['07-31-2022']
752,15,['08-07-2022']
753,15,['08-14-2022']
754,15,['08-21-2022']
755,15,['08-28-2022']
756,15,['09-04-2022']
757,15,['09-11-2022']
758,15,['09-18-2022']
759,15,['09-25-2022']
760,15,['10-02-2022']
761,15,['10-09-2022']
762,15,['10-16-2022']
763,15,['10-23-2022']
764,15,['10-30-2022']
765,15,['11-06-2022']
766,15,['11-13-2022']
767,15,['11-20-2022']
768,15,['11-27-2022']
769,15,['12-04-2022']
770,15,['12-11-2022']
771,15,['12-18-2022']
772,15,['12-25-2022']
773,15,['01-01-2023']
774,15,['01-08-2023']
775,15,['01-15-2023']
776,15,['01-22-2023']
777,15,['01-29-2023']
778,15,['02-05-2023']
779,15,['02-12-2023']
780,15,['02-19-2023']
781,15,['02-26-2023']
782,15,['03-05-2023']
783,15,['03-12-2023']
784,15,['03-19-2023']
785,15,['03-26-2023']
786,15,['04-02-2023']
787,15,['04-09-2023']
788,15,['04-16-2023']
789,15,['04-23-2023']
790,15,['04-30-2023']
791,15,['05-07-2023']
792,15,['05-14-2023']
793,15,['05-21-2023']
794,15,['05-28-2023']
795,16,['05-29-2022']
796,16,['06-05-2022']
797,16,['06-12-2022']
798,16,['06-19-2022']
799,16,['06-26-2022']
800,16,['07-03-2022']
801,16,['07-10-2022']
802,16,['07-17-2022']
803,16,['07-24-2022']
804,16,['07-31-2022']
805,16,['08-07-2022']
806,16,['08-14-2022']
807,16,['08-21-2022']
808,16,['08-28-2022']
809,16,['09-04-2022']
810,16,['09-11-2022']
811,16,['09-18-2022']
812,16,['09-25-2022']
813,16,['10-02-2022']
814,16,['10-09-2022']
815,16,['10-16-2022']
816,16,['10-23-2022']
817,16,['10-30-2022']
818,16,['11-06-2022']
819,16,['11-13-2022']
820,16,['11-20-2022']
821,16,['11-27-2022']
822,16,['12-04-2022']
823,16,['12-11-2022']
824,16,['12-18-2022']
825,16,['12-25-2022']
826,16,['01-01-2023']
827,16,['01-08-2023']
828,16,['01-15-2023']
829,16,['01-22-2023']
830,16,['01-29-2023']
831,16,['02-05-2023']
832,16,['02-12-2023']
833,16,['02-19-2023']
834,16,['02-26-2023']
835,16,['03-05-2023']
836,16,['03-12-2023']
837,16,['03-19-2023']
838,16,['03-26-2023']
839,16,['04-02-2023']
840,16,['04-09-2023']
841,16,['04-16-2023']
842,16,['04-23-2023']
843,16,['04-30-2023']
844,16,['05-07-2023']
845,16,['05-14-2023']
846,16,['05-21-2023']
847,16,['05-28-2023']
848,17,['05-29-2022']
849,17,['06-05-2022']
850,17,['06-12-2022']
851,17,['06-19-2022']
852,17,['06-26-2022']
853,17,['07-03-2022']
854,17,['07-10-2022']
855,17,['07-17-2022']
856,17,['07-24-2022']
857,17,['07-31-2022']
858,17,['08-07-2022']
859,17,['08-14-2022']
860,17,['08-21-2022']
861,17,['08-28-2022']
862,17,['09-04-2022']
863,17,['09-11-2022']
864,17,['09-18-2022']
865,17,['09-25-2022']
866,17,['10-02-2022']
867,17,['10-09-2022']
868,17,['10-16-2022']
869,17,['10-23-2022']
870,17,['10-30-2022']
871,17,['11-06-2022']
872,17,['11-13-2022']
873,17,['11-20-2022']
874,17,['11-27-2022']
875,17,['12-04-2022']
876,17,['12-11-2022']
877,17,['12-18-2022']
878,17,['12-25-2022']
879,17,['01-01-2023']
880,17,['01-08-2023']
881,17,['01-15-2023']
882,17,['01-22-2023']
883,17,['01-29-2023']
884,17,['02-05-2023']
885,17,['02-12-2023']
886,17,['02-19-2023']
887,17,['02-26-2023']
888,17,['03-05-2023']
889,17,['03-12-2023']
890,17,['03-19-2023']
891,17,['03-26-2023']
892,17,['04-02-2023']
893,17,['04-09-2023']
894,17,['04-16-2023']
895,17,['04-23-2023']
896,17,['04-30-2023']
897,17,['05-07-2023']
898,17,['05-14-2023']
899,17,['05-21-2023']
900,17,['05-28-2023']
901,18,['05-29-2022']
902,18,['06-05-2022']
903,18,['06-12-2022']
904,18,['06-19-2022']
905,18,['06-26-2022']
906,18,['07-03-2022']
907,18,['07-10-2022']
908,18,['07-17-2022']
909,18,['07-24-2022']
910,18,['07-31-2022']
911,18,['08-07-2022']
912,18,['08-14-2022']
913,18,['08-21-2022']
914,18,['08-28-2022']
915,18,['09-04-2022']
916,18,['09-11-2022']
917,18,['09-18-2022']
918,18,['09-25-2022']
919,18,['10-02-2022']
920,18,['10-09-2022']
921,18,['10-16-2022']
922,18,['10-23-2022']
923,18,['10-30-2022']
924,18,['11-06-2022']
925,18,['11-13-2022']
926,18,['11-20-2022']
927,18,['11-27-2022']
928,18,['12-04-2022']
929,18,['12-11-2022']
930,18,['12-18-2022']
931,18,['12-25-2022']
932,18,['01-01-2023']
933,18,['01-08-2023']
934,18,['01-15-2023']
935,18,['01-22-2023']
936,18,['01-29-2023']
937,18,['02-05-2023']
938,18,['02-12-2023']
939,18,['02-19-2023']
940,18,['02-26-2023']
941,18,['03-05-2023']
942,18,['03-12-2023']
943,18,['03-19-2023']
944,18,['03-26-2023']
945,18,['04-02-2023']
946,18,['04-09-2023']
947,18,['04-16-2023']
948,18,['04-23-2023']
949,18,['04-30-2023']
950,18,['05-07-2023']
951,18,['05-14-2023']
952,18,['05-21-2023']
953,18,['05-28-2023']
954,19,['05-29-2022']
955,19,['06-05-2022']
956,19,['06-12-2022']
957,19,['06-19-2022']
958,19,['06-26-2022']
959,19,['07-03-2022']
960,19,['07-10-2022']
961,19,['07-17-2022']
962,19,['07-24-2022']
963,19,['07-31-2022']
964,19,['08-07-2022']
965,19,['08-14-2022']
966,19,['08-21-2022']
967,19,['08-28-2022']
968,19,['09-04-2022']
969,19,['09-11-2022']
970,19,['09-18-2022']
971,19,['09-25-2022']
972,19,['10-02-2022']
973,19,['10-09-2022']
974,19,['10-16-2022']
975,19,['10-23-2022']
976,19,['10-30-2022']
977,19,['11-06-2022']
978,19,['11-13-2022']
979,19,['11-20-2022']
980,19,['11-27-2022']
981,19,['12-04-2022']
982,19,['12-11-2022']
983,19,['12-18-2022']
984,19,['12-25-2022']
985,19,['01-01-2023']
986,19,['01-08-2023']
987,19,['01-15-2023']
988,19,['01-22-2023']
989,19,['01-29-2023']
990,19,['02-05-2023']
991,19,['02-12-2023']
992,19,['02-19-2023']
993,19,['02-26-2023']
994,19,['03-05-2023']
995,19,['03-12-2023']
996,19,['03-19-2023']
997,19,['03-26-2023']
998,19,['04-02-2023']
999,19,['04-09-2023']
1000,19,['04-16-2023']
1001,19,['04-23-2023']
1002,19,['04-30-2023']
1003,19,['05-07-2023']
1004,19,['05-14-2023']
1005,19,['05-21-2023']
1006,19,['05-28-2023']
1007,20,['05-29-2022']
1008,20,['06-05-2022']
1009,20,['06-12-2022']
1010,20,['06-19-2022']
1011,20,['06-26-2022']
1012,20,['07-03-2022']
1013,20,['07-10-2022']
1014,20,['07-17-2022']
1015,20,['07-24-2022']
1016,20,['07-31-2022']
1017,20,['08-07-2022']
1018,20,['08-14-2022']
1019,20,['08-21-2022']
1020,20,['08-28-2022']
1021,20,['09-04-2022']
1022,20,['09-11-2022']
1023,20,['09-18-2022']
1024,20,['09-25-2022']
1025,20,['10-02-2022']
1026,20,['10-09-2022']
1027,20,['10-16-2022']
1028,20,['10-23-2022']
1029,20,['10-30-2022']
1030,20,['11-06-2022']
1031,20,['11-13-2022']
1032,20,['11-20-2022']
1033,20,['11-27-2022']
1034,20,['12-04-2022']
1035,20,['12-11-2022']
1036,20,['12-18-2022']
1037,20,['12-25-2022']
1038,20,['01-01-2023']
1039,20,['01-08-2023']
1040,20,['01-15-2023']
1041,20,['01-22-2023']
1042,20,['01-29-2023']
1043,20,['02-05-2023']
1044,20,['02-12-2023']
1045,20,['02-19-2023']
1046,20,['02-26-2023']
1047,20,['03-05-2023']
1048,20,['03-12-2023']
1049,20,['03-19-2023']
1050,20,['03-26-2023']
1051,20,['04-02-2023']
1052,20,['04-09-2023']
1053,20,['04-16-2023']
1054,20,['04-23-2023']
1055,20,['04-30-2023']
1056,20,['05-07-2023']
1057,20,['05-14-2023']
1058,20,['05-21-2023']
1059,20,['05-28-2023']
1060,21,['05-29-2022']
1061,21,['06-05-2022']
1062,21,['06-12-2022']
1063,21,['06-19-2022']
1064,21,['06-26-2022']
1065,21,['07-03-2022']
1066,21,['07-10-2022']
1067,21,['07-17-2022']
1068,21,['07-24-2022']
1069,21,['07-31-2022']
